geo,TIME_PERIOD,Self_Sufficiency,Import_Dependency,Imports
Slovakia,2014,0.6034563106796117,0.5034563106796116,12964.0
Slovakia,2015,0.5348402065713644,0.5612978070503705,14999.0
Slovakia,2016,0.6031943732141549,0.48534691186167483,13249.0
Slovakia,2017,0.5376074118603911,0.5503377064252626,15563.0
Slovakia,2018,0.6484149855907781,0.44216743160066885,12428.0
Slovakia,2019,0.5988093090384269,0.4884719465993145,13538.0
Slovakia,2020,0.6037132856490641,0.5055927560493075,13289.0
Slovakia,2021,0.6079764088179236,0.4992987377279102,13884.0
Slovakia,2022,0.455001977066034,0.6620403321470937,16743.0
Slovakia,2023,0.6576208335089124,0.4486957987442586,10648.0
